pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_trandep,pl_trandur,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum_x,st_logg,st_age,st_dens,decstr,dec,sy_dist,pl_type,IST,SPH,HZD,HZC,HZA,pClass,hClass,PHI,is_pot_livable,st_class,st_chz_inn_edge (AU),st_chz_out_edge (AU),st_lum_y,st_chz_width,st_chz_inn_edge (ls),st_chz_out_edge (ls),pl_orb_is_in_CHZ,pl_orb_prc_in_cCHZ,pl_orb_prc_in_cCHZ,OHZIN,CHZIN,CHZOUT,OHZOUT
11 Com b,11 Com,2,1,0,Radial Velocity,326.03,1.25,,,5800.15,18.25,,0.231,,,,,,,,G8 III,4742.0,19.0,2.6500000000000004,-0.35,[Fe/H],2.243,2.31,,,+17d47m35.71s,17.7932516,93.1846,,,,,,,,,,,G8,0.7,1.12,0.56,0.42,351.02,560.13,False,0.0,0.0,10.481,13.276,24.285,25.615
11 UMi b,11 UMi,1,1,0,Radial Velocity,516.219985,1.5266666666666666,,,3818.0947333333334,12.013333333333334,,0.08,,,,,,,,K4 III,4276.5,26.935,2.0933333333333333,0.01,[Fe/H],,1.7650000000000001,1.56,,+71d49m26.19s,71.8239428,125.321,gas giant,,,,,,,,,,K4,0.33,0.52,0.12,0.19,162.49,259.29,False,0.0,0.0,12.783,16.192,30.355,32.018
14 And b,14 And,1,1,0,Radial Velocity,185.84,0.755,,,1271.25,4.0,,0.0,,,,,,,,K0 III,4813.0,11.0,1.7000000000000002,-0.24,[Fe/H],1.763,2.63,,,+39d14m09.01s,39.2358367,75.4392,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,0.0,0.0,6.013,7.617,13.89,14.651
14 Her b,14 Her,1,2,0,Radial Velocity,1766.6016699999998,2.8205714285714287,,,1511.3709385714285,4.755428571428571,,0.3600666666666667,,,,2456834.4,,,,K0 V,5296.985,0.9650000000000001,0.945,0.41500000000000004,"['[Fe/H]', '[M/H]']",-0.1515,4.426666666666667,3.9,1.2739,+43d48m58.90s,43.8163621,17.9323,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,0.0,0.0,0.611,0.774,1.384,1.459
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,799.5625,1.6593999999999998,,,533.4314340000001,1.678,,0.67344,,,,2456937.32,,,,G2.5 V,5728.594,1.145,1.0160000000000002,0.055499999999999994,"['[Fe/H]', '[M/H]']",0.097,4.336666666666667,,1.011,+50d31m00.57s,50.5168243,21.1397,gas giant,,,,,,,,,,G2,0.93,1.48,0.97,0.55,461.97,737.19,False,21.2,29.2,0.842,1.066,1.881,1.984
17 Sco b,17 Sco,1,1,0,Radial Velocity,578.38,1.45,,,1373.01872,4.32,,0.06,,,,,,,,K3 III,4157.0,25.92,1.22,-0.01,[Fe/H],2.254,1.7,5.13,,-11d50m16.05s,-11.8377905,124.953,gas giant,,,,,,,,,,K3,0.4,0.64,0.18,0.24,199.01,317.56,False,0.0,0.0,10.825,13.712,25.776,27.188
18 Del b,18 Del,2,1,0,Radial Velocity,993.3,2.5700000000000003,,,3200.4,10.07,,0.08,,,,,,,,G6 III,4979.0,8.5,2.2,-0.052,[Fe/H],1.602,2.82,,,+10d50m20.90s,10.8391378,76.222,gas giant,,,,,,,,,,G6,0.75,1.2,0.64,0.45,375.25,598.81,False,0.0,0.0,4.958,6.281,11.375,11.998
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,,330.0,18.647,1.664,3181.0,10.0,,,,1750.0,,,,,,K7 V,4026.5,1.33,0.735,,,-0.3865,4.0,0.0075,0.3879,-21d04m59.31s,-21.0831403,139.135,gas giant,,,,,,,,,,K7,,,,,,,False,,,,,,
24 Boo b,24 Boo,1,1,0,Radial Velocity,30.3506,0.19,,,289.2253,0.91,,0.042,,,,,,,,G3 IV,4893.0,10.64,0.99,-0.77,[Fe/H],1.774,2.42,6.92,,+49d50m40.74s,49.8446488,95.9863,gas giant,,,,,,,,,,G3,,,,,,,False,0.0,0.0,6.068,7.686,13.971,14.736
24 Sex b,24 Sex,1,2,0,Radial Velocity,452.8,1.333,,,632.46,1.99,,0.09,,,,,,,,,5098.0,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,-00d54m08.64s,-0.9023998,72.0691,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,2.977,3.771,6.799,7.171
24 Sex c,24 Sex,1,2,0,Radial Velocity,883.0,2.08,,,273.32,0.86,,0.29,,,,,,,,,5098.0,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,-00d54m08.64s,-0.9023998,72.0691,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,2.977,3.771,6.799,7.171
