pl_name,pl_type
HD 129445 b,gas giant
HD 130322 b,gas giant
HD 131496 b,gas giant
HD 131664 b,gas giant
HD 13167 b,gas giant
HD 13189 b,gas giant
HD 132406 b,gas giant
HD 132563 b,gas giant
HD 133131 A b,gas giant
HD 133131 A c,gas giant
HD 133131 B b,gas giant
HD 134987 b,gas giant
HD 134987 c,gas giant
HD 136418 b,gas giant
HD 136925 b,gas giant
HD 137388 b,gas giant
HD 137496 c,gas giant
HD 13908 b,gas giant
HD 13908 c,gas giant
HD 13931 b,gas giant
HD 139357 b,gas giant
HD 1397 b,gas giant
HD 14067 b,gas giant
HD 141399 b,gas giant
HD 141399 c,gas giant
HD 141399 d,gas giant
HD 141399 e,gas giant
HD 141937 b,gas giant
HD 142022 A b,gas giant
HD 142245 b,gas giant
HD 142415 b,gas giant
HD 143105 b,gas giant
HD 143361 b,gas giant
HD 145377 b,gas giant
HD 145457 b,gas giant
HD 145675 c,gas giant
HD 145934 b,gas giant
HD 147018 b,gas giant
HD 147018 c,gas giant
HD 147513 b,gas giant
HD 147873 b,gas giant
HD 147873 c,gas giant
HD 14787 b,gas giant
HD 148156 b,gas giant
HD 148164 b,gas giant
HD 148164 c,gas giant
HD 148427 b,gas giant
HD 107148 b,gas giant
HD 108147 b,gas giant
HD 108341 b,gas giant
HD 108863 b,gas giant
HD 108874 b,gas giant
HD 108874 c,gas giant
HD 109246 b,gas giant
HD 109286 b,gas giant
HD 109749 b,gas giant
HD 110014 b,gas giant
HD 111232 b,gas giant
HD 111591 b,gas giant
HD 111998 b,gas giant
HD 112640 b,gas giant
HD 113337 b,gas giant
HD 113538 b,gas giant
HD 113538 c,gas giant
HD 113996 b,gas giant
HD 114386 b,gas giant
HD 114613 b,gas giant
HD 114729 b,gas giant
HD 114762 b,gas giant
HD 114783 b,gas giant
HD 114783 c,gas giant
HD 11506 b,gas giant
HD 11506 c,gas giant
HD 115954 b,gas giant
HD 116029 b,gas giant
HD 116029 c,gas giant
HD 117207 b,gas giant
HD 11755 b,gas giant
HD 117618 b,gas giant
HD 118203 b,gas giant
HD 11964 b,gas giant
HD 11977 b,gas giant
HD 120084 b,gas giant
HD 121504 b,gas giant
HD 124330 b,gas giant
HD 12484 b,gas giant
HD 125390 b,gas giant
HD 125612 b,gas giant
HD 125612 d,gas giant
HD 12648 b,gas giant
HD 126525 b,gas giant
HD 126614 b,gas giant
HD 12661 b,gas giant
HD 12661 c,gas giant
HD 128311 b,gas giant
HD 128311 c,gas giant
HD 171238 b,gas giant
HD 17156 b,gas giant
HD 173416 b,gas giant
HD 175167 b,gas giant
HD 175541 b,gas giant
HD 17674 b,gas giant
HD 177830 b,gas giant
HD 177830 c,gas giant
HD 178911 B b,gas giant
HD 179949 b,gas giant
HD 180053 b,gas giant
HD 18015 b,gas giant
HD 180314 b,gas giant
HD 180902 b,gas giant
HD 181234 b,gas giant
HD 181342 b,gas giant
HD 181433 c,gas giant
HD 181433 d,gas giant
HD 181720 b,gas giant
HD 183263 b,gas giant
HD 183263 c,gas giant
HD 185269 b,gas giant
HD 187085 b,gas giant
HD 187123 b,gas giant
HD 187123 c,gas giant
HD 18742 b,gas giant
HD 188015 b,gas giant
HD 189733 b,gas giant
HD 190360 b,gas giant
HD 190647 b,gas giant
HD 190984 b,gas giant
HD 191806 b,gas giant
HD 192263 b,gas giant
HD 192699 b,gas giant
HD 195019 b,gas giant
HD 196050 b,gas giant
HD 196067 b,gas giant
HD 196885 A b,gas giant
HD 197037 b,gas giant
HD 19994 b,gas giant
HD 200964 b,gas giant
HD 200964 c,gas giant
HD 202206 c,gas giant
HD 202696 b,gas giant
HD 202696 c,gas giant
HD 202772 A b,gas giant
HD 203030 b,gas giant
HD 203473 b,gas giant
HD 2039 b,gas giant
HAT-P-19 b,gas giant
HAT-P-1 b,gas giant
HAT-P-20 b,gas giant
HAT-P-21 b,gas giant
HAT-P-22 b,gas giant
HAT-P-23 b,gas giant
HAT-P-24 b,gas giant
HAT-P-25 b,gas giant
HAT-P-27 b,gas giant
HAT-P-28 b,gas giant
HAT-P-29 b,gas giant
HAT-P-2 b,gas giant
HAT-P-30 b,gas giant
HAT-P-31 b,gas giant
HAT-P-32 b,gas giant
HAT-P-33 b,gas giant
HAT-P-34 b,gas giant
HAT-P-35 b,gas giant
HAT-P-36 b,gas giant
HAT-P-37 b,gas giant
HAT-P-38 b,gas giant
HAT-P-39 b,gas giant
HAT-P-3 b,gas giant
HAT-P-40 b,gas giant
HAT-P-41 b,gas giant
HAT-P-42 b,gas giant
HAT-P-43 b,gas giant
HAT-P-44 b,gas giant
HAT-P-44 c,gas giant
HAT-P-45 b,gas giant
HAT-P-46 b,gas giant
HAT-P-49 b,gas giant
HAT-P-50 b,gas giant
HAT-P-51 b,gas giant
HAT-P-52 b,gas giant
HAT-P-53 b,gas giant
HAT-P-54 b,gas giant
HAT-P-55 b,gas giant
HAT-P-56 b,gas giant
HAT-P-57 b,gas giant
HAT-P-58 b,gas giant
HAT-P-59 b,gas giant
HAT-P-5 b,gas giant
HAT-P-60 b,gas giant
HAT-P-61 b,gas giant
HAT-P-62 b,gas giant
HAT-P-63 b,gas giant
HAT-P-64 b,gas giant
HD 204941 b,gas giant
HD 205739 b,gas giant
HD 206610 b,gas giant
HD 20782 b,gas giant
HD 207832 b,gas giant
HD 207832 c,gas giant
HD 208487 b,gas giant
HD 208527 b,gas giant
HD 20868 b,gas giant
HD 208897 b,gas giant
HD 209458 b,gas giant
HD 210193 b,gas giant
HD 210277 b,gas giant
HD 210702 b,gas giant
HD 211403 b,gas giant
HD 211810 b,gas giant
HD 212301 b,gas giant
HD 212771 b,gas giant
HD 213240 b,gas giant
HD 213472 b,gas giant
HD 21411 b,gas giant
HD 214823 b,gas giant
HD 215497 c,gas giant
HD 216435 b,gas giant
HD 216437 b,gas giant
HD 216536 b,gas giant
HD 216770 b,gas giant
HD 217107 b,gas giant
HD 217107 c,gas giant
HD 217786 b,gas giant
HD 217850 b,gas giant
HD 218566 b,gas giant
HD 219077 b,gas giant
HD 219134 h,gas giant
HD 219415 b,gas giant
HD 219828 c,gas giant
HD 220074 b,gas giant
HD 220197 b,gas giant
HD 220689 b,gas giant
HD 220773 b,gas giant
HD 220842 b,gas giant
HD 221287 b,gas giant
HD 221416 b,gas giant
HD 221420 b,gas giant
HD 221585 b,gas giant
HD 222076 b,gas giant
HD 222155 b,gas giant
HD 222582 b,gas giant
HD 224538 b,gas giant
BD+15 2940 b,gas giant
BD-17 63 b,gas giant
BD+20 2457 b,gas giant
BD+20 2457 c,gas giant
BD+20 274 b,gas giant
BD+45 564 b,gas giant
BD+48 738 b,gas giant
BD+48 740 b,gas giant
BD+49 828 b,gas giant
BD+55 362 b,gas giant
BD+63 1405 b,gas giant
bet Cnc b,gas giant
bet Pic b,gas giant
bet Pic c,gas giant
bet UMi b,gas giant
CFBDSIR J145829+101343 b,gas giant
CFHTWIR-Oph 98 b,gas giant
CHXR 73 b,gas giant
CI Tau b,gas giant
COCONUTS-2 b,gas giant
CoRoT-10 b,gas giant
CoRoT-11 b,gas giant
CoRoT-12 b,gas giant
CoRoT-13 b,gas giant
CoRoT-14 b,gas giant
CoRoT-16 b,gas giant
CoRoT-17 b,gas giant
CoRoT-18 b,gas giant
CoRoT-19 b,gas giant
CoRoT-1 b,gas giant
CoRoT-20 b,gas giant
CoRoT-20 c,gas giant
CoRoT-21 b,gas giant
CoRoT-23 b,gas giant
CoRoT-25 b,gas giant
CoRoT-26 b,gas giant
CoRoT-27 b,gas giant
CoRoT-28 b,gas giant
CoRoT-29 b,gas giant
CoRoT-2 b,gas giant
CoRoT-30 b,gas giant
CoRoT-31 b,gas giant
CoRoT-3 b,gas giant
CoRoT-4 b,gas giant
CoRoT-5 b,gas giant
CoRoT-6 b,gas giant
CoRoT-8 b,gas giant
CoRoT-9 b,gas giant
CoRoTID 223977153 b,gas giant
HD 149143 b,gas giant
HD 1502 b,gas giant
HD 150706 b,gas giant
HD 152079 b,gas giant
HD 152581 b,gas giant
HD 153950 b,gas giant
HD 154345 b,gas giant
HD 154672 b,gas giant
HD 154857 b,gas giant
HD 154857 c,gas giant
HD 155193 b,gas giant
HD 155233 b,gas giant
HD 155358 b,gas giant
HD 155358 c,gas giant
HD 156279 b,gas giant
HD 156279 c,gas giant
HD 156411 b,gas giant
HD 156846 b,gas giant
HD 158038 b,gas giant
HD 158996 b,gas giant
HD 159243 b,gas giant
HD 159243 c,gas giant
HD 159868 b,gas giant
HD 159868 c,gas giant
HD 1605 b,gas giant
HD 1605 c,gas giant
HD 160691 b,gas giant
HD 160691 c,gas giant
HD 160691 e,gas giant
HD 16141 b,gas giant
HD 16175 b,gas giant
HD 162020 b,gas giant
HD 163607 b,gas giant
HD 163607 c,gas giant
HD 164509 b,gas giant
HD 164604 b,gas giant
HD 164922 b,gas giant
HD 165155 b,gas giant
HD 1666 b,gas giant
HD 166724 b,gas giant
HD 167042 b,gas giant
HD 168443 b,gas giant
HD 168443 c,gas giant
HD 168746 b,gas giant
HD 1690 b,gas giant
HD 169830 b,gas giant
HD 169830 c,gas giant
HD 170469 b,gas giant
HD 17092 b,gas giant
HAT-P-66 b,gas giant
HAT-P-67 b,gas giant
HAT-P-68 b,gas giant
HAT-P-69 b,gas giant
HAT-P-6 b,gas giant
HAT-P-70 b,gas giant
HAT-P-7 b,gas giant
HAT-P-8 b,gas giant
HAT-P-9 b,gas giant
HATS-10 b,gas giant
HATS-11 b,gas giant
HATS-12 b,gas giant
HATS-13 b,gas giant
HATS-14 b,gas giant
HATS-15 b,gas giant
HATS-16 b,gas giant
HATS-17 b,gas giant
HATS-18 b,gas giant
HATS-22 b,gas giant
HATS-23 b,gas giant
HATS-24 b,gas giant
HATS-25 b,gas giant
HATS-26 b,gas giant
HATS-27 b,gas giant
HATS-28 b,gas giant
HATS-29 b,gas giant
HATS-30 b,gas giant
HATS-31 b,gas giant
HATS-32 b,gas giant
HATS-33 b,gas giant
HATS-34 b,gas giant
HATS-35 b,gas giant
HATS-36 b,gas giant
HATS-39 b,gas giant
HATS-40 b,gas giant
HATS-41 b,gas giant
HATS-42 b,gas giant
HATS-43 b,gas giant
HATS-44 b,gas giant
HATS-45 b,gas giant
HATS-46 b,gas giant
HATS-47 b,gas giant
HATS-48 A b,gas giant
HATS-49 b,gas giant
HATS-50 b,gas giant
HD 5583 b,gas giant
HD 5608 b,gas giant
HD 5891 b,gas giant
HD 59686 A b,gas giant
HD 60292 b,gas giant
HD 60532 b,gas giant
HD 60532 c,gas giant
HD 62509 b,gas giant
HD 63454 b,gas giant
HD 63765 b,gas giant
HD 6434 b,gas giant
HD 65216 b,gas giant
HD 65216 c,gas giant
HD 66141 b,gas giant
HD 66428 b,gas giant
HD 66428 c,gas giant
HD 67087 b,gas giant
HD 67087 c,gas giant
HD 6718 b,gas giant
HD 68402 b,gas giant
HD 68988 b,gas giant
HD 68988 c,gas giant
HD 70573 b,gas giant
HD 70642 b,gas giant
HD 7199 b,gas giant
HD 72490 b,gas giant
HD 72659 b,gas giant
HD 72892 b,gas giant
HD 73267 b,gas giant
HD 73526 b,gas giant
HD 73526 c,gas giant
HD 73534 b,gas giant
HD 74156 b,gas giant
HD 74156 c,gas giant
HD 7449 b,gas giant
HD 75289 b,gas giant
HD 75784 b,gas giant
HD 75784 c,gas giant
HD 75898 b,gas giant
HD 76700 b,gas giant
HD 76920 b,gas giant
HD 79498 b,gas giant
HD 80606 b,gas giant
HD 80869 b,gas giant
HD 81040 b,gas giant
HD 81688 b,gas giant
HD 81817 b,gas giant
HD 82886 b,gas giant
HATS-52 b,gas giant
HATS-53 b,gas giant
HATS-54 b,gas giant
HATS-55 b,gas giant
HATS-56 b,gas giant
HATS-57 b,gas giant
HATS-58 A b,gas giant
HATS-59 b,gas giant
HATS-59 c,gas giant
HATS-60 b,gas giant
HATS-61 b,gas giant
HATS-62 b,gas giant
HATS-63 b,gas giant
HATS-64 b,gas giant
HATS-65 b,gas giant
HATS-66 b,gas giant
HATS-67 b,gas giant
HATS-68 b,gas giant
HATS-69 b,gas giant
HATS-70 b,gas giant
HATS-71 b,gas giant
HATS-72 b,gas giant
HD 100546 b,gas giant
HD 100655 b,gas giant
HD 100777 b,gas giant
HD 10180 h,gas giant
HD 101930 b,gas giant
HD 102117 b,gas giant
HD 102195 b,gas giant
HD 102272 b,gas giant
HD 102329 b,gas giant
HD 102329 c,gas giant
HD 102843 b,gas giant
HD 102956 b,gas giant
HD 103720 b,gas giant
HD 103774 b,gas giant
HD 104067 b,gas giant
HD 10442 b,gas giant
HD 104985 b,gas giant
HD 106252 b,gas giant
HD 106270 b,gas giant
HD 10647 b,gas giant
HD 106515 A b,gas giant
HD 106906 b,gas giant
11 UMi b,gas giant
14 And b,gas giant
14 Her b,gas giant
16 Cyg B b,gas giant
17 Sco b,gas giant
18 Del b,gas giant
1RXS J160929.1-210524 b,gas giant
24 Boo b,gas giant
24 Sex b,gas giant
24 Sex c,gas giant
2MASS J01033563-5515561 AB b,gas giant
2MASS J01225093-2439505 b,gas giant
2MASS J02192210-3925225 b,gas giant
2MASS J04414489+2301513 b,gas giant
