,Region,Orbital Distance,Orbital Period,Keplerian Ratio,Radius,Day Length,Atm. Pressure,Surface Temp,Surface Gravity,Mass,Satellites,pl_name,Species,Population,Capital,Colony Founded,Population (Orbital Stations),CDEM Garrison,Population (L4 and L5 stations)
0,Milky Way / Crescent Nebula / Ondeste,1.68 AU,4.0 Earth Years,0.296,"6,272 km",36.2 Earth Hours,Trace,−178 °C ,0.38 g,0.365 Earth Masses,1,Acaeria,,,,,,,
1,Andromeda / Heleus Cluster / Anasa,1.7 AU,2.5 Earth Years,0.786,"4,699 km",,0.00 atm,-85 °C ,,,,Acermos,,,,,,,
2,Milky Way / Perseus Veil / Tikkun,2.1 AU,3.4 Earth Years,0.801,"4,145 km",18 Earth Hours,3.87 atm,73 °C ,.57 g,0.239 Earth Masses,,Adas,,,,,,,
3,Milky Way / Kite's Nest / Untrel,4.5 AU,7.3 Earth Years,1.71,"5,075 km",58 Earth Hours,0.45 atm,60 °C ,0.78 g,0.49 Earth Masses,,Adek,Batarian,>6 millionPop. estimate is pre-invasion,,,,,
4,Milky Way / Hades Nexus / Hoplos,4.5 AU,9.6 Earth Years,0.989,"53,682 km",11.6 Earth Hours,,,,,,Aegis,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,Milky Way / Minos Wasteland / Fortis,4.0 AU,8.0 Earth Years,1,"7,437 km",51.6 Earth Hours,0.49 atm,−85 °C ,1.6 g,2.159 Earth Masses,,Aequitas,,,,,,,
7,Milky Way / Hourglass Nebula / Osun,3.2 AU,5.7 Earth Years,1.009,"10,008 km",23.3 Earth Hours,0.02 atm,−93 °C ,5.3 g,12.953 Earth Masses,,Aganju,,,,,,,
8,Milky Way / Voyager Cluster / Amazon,,1.8 Earth Years,,"4,910 km",42.1 Earth Hours,0.17 atm,−72 °C ,0.79 g,0.465 Earth Masses,,Agebinium,,,,,,,
9,Milky Way / Hades Gamma / Antaeus,0.25 AU,0.1 Earth Years,1.563,"2,147 km",59.9 Earth Hours,0.27 atm,346 °C ,0.25 g,0.028 Earth Masses,,Ageko,,,,,,,
10,Milky Way / Silean Nebula / Nahuala,0.48 AU,0.4 Earth Years,0.691,"5,984 km",45.1 Earth Hours,0.65 atm,136 °C ,0.92 g,0.804 Earth Masses,,Agessia,Asari,,,,,,
11,Milky Way / Pangaea Expanse / Refuge,,0.4 Earth Years,,"6,172 km",53.5 Earth Hours,84.30 atm,510 °C ,1.0 g,0.929 Earth Masses,,Agetoton,,,,,,,
12,Milky Way / Caleston Rift / Aysur,0.7 AU,0.6 Earth Years,0.953,"4,834 km",61.1 Earth Hours,86.87 atm,684 °C ,0.5 g,0.285 Earth Masses,,Agnin,,,,,,,
13,Milky Way / Hourglass Nebula / Ploitari,0.7 AU,0.6 Earth Years,0.953,"1,511 km",19.3 Earth Hours,0.03 atm,125 °C ,0.1 g,0.006 Earth Masses,,Aigela,,,,,,,
14,Milky Way / Caleston Rift / Talava,0.5 AU,0.3 Earth Years,1.389,"8,945 km",65.1 Earth Hours,Trace,549 °C ,2.8 g,5.466 Earth Masses,,Aitarus,,,,,,,
15,Milky Way / The Phoenix Massing / Typhon,1.4 AU,1.7 Earth Years,0.949,"5,941 km",24.9 Earth Hours,0.6 atm,20 °C ,0.88 g,0.758 Earth Masses,2,Aite,,"1,540,000",Adrasteia (disputed),2104 CE,,,
16,Milky Way / Nimbus Cluster / Pelion,6.6 AU,16.9 Earth Years,1.007,"8,213 km",23.7 Earth Hours,Trace,-146 °C ,0.25 g,0.411 Earth Masses,,Aitis,,,,,,,
17,Milky Way / Sigurd's Cradle / Mil,0.4 AU,0.3 Earth Years,0.711,"2,800 km",0.3 Earth Years,Trace,268 °C ,0.39 g,0.075 Earth Masses,,Akraia,,,,,,,
18,,,,,,,,,,,,,,,,,,,
19,Milky Way / Omega Nebula / Amada,9.5 AU,29.4 Earth Years,0.992,"9,229 km",59.2 Earth Hours,0.83 atm,−22 °C ,0.85 g,1.767 Earth Masses,3,Alchera,,,,,,,
20,Milky Way / Caleston Rift / Aysur,10.1 AU,32.2 Earth Years,0.994,"67,626 km",8.8 Earth Hours,1.81 atm,,,,,Alformus,,,,,,,
21,Milky Way / Hourglass Nebula / Faryar,10.1 AU,31.7 Earth Years,1.025,"3,085 km",56.3 Earth Hours,0.04 atm,−166 °C ,0.5 g,0.116 Earth Masses,,Alingon,,,,,,,
22,Milky Way / Maroon Sea / Vostok,,28.7 Earth Years,,"4,949 km",45.2 Earth Hours,0.00 atm,-167 °C ,0.5 g,0.299 Earth Masses,,Alko,,,,,,,
23,Milky Way / Nubian Expanse / Dakka,2.47 AU,3.9 Earth Years,0.991,"17,946 km",18.8 Earth Hours,,,,,,Alkonost,,,,,,,
